,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,Month,year
1698,14,67656.0,143952.0,0.0,0.0,16829.0,0.0,23270.64,5,1987
1699,8,22879.56,38749.56,0.0,0.0,198.0,0.0,0.0,2,1987
1700,23,44712.0,157800.0,0.0,0.0,11202.6,0.0,23270.64,8,1973
1701,20,22879.56,38749.56,0.0,0.0,6093.0,0.0,0.0,6,1978
1702,10,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,2,1951
1703,19,22879.56,38749.56,0.0,0.0,3090.0,0.0,0.0,5,1970
1704,3,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,4,1982
1705,6,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,7,1981
1706,18,59076.0,131088.0,0.0,0.0,456.8,0.0,0.0,10,1969
1707,8,22879.56,38749.56,0.0,0.0,410.3,0.0,0.0,6,1960
1708,19,85188.0,150792.0,0.0,0.0,9204.0,0.0,23270.64,3,1978
1709,4,22879.56,291194.4,88.0,0.0,0.0,0.0,0.0,2,1984
1710,7,22879.56,38749.56,0.0,0.0,6125.0,0.0,0.0,2,1981
1711,8,67656.0,143952.0,0.0,0.0,9105.6,0.0,9329.16,9,1950
1712,18,59076.0,131088.0,0.0,0.0,4378.73,0.0,8998.68,4,1953
1713,12,22879.56,38749.56,0.0,0.0,2359.5,0.0,0.0,11,1985
1714,9,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,10,1965
1715,21,49512.0,66192.0,0.0,0.0,3739.39,0.0,15513.76,8,1982
1716,3,132.0,2880.0,0.0,0.0,40214.2,0.0,0.0,3,1984
1717,18,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,1,1963
1718,9,22879.56,38749.56,0.0,0.0,6836.25,0.0,0.0,8,1959
1719,19,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,7,1986
1720,23,49512.0,66192.0,0.0,0.0,0.0,0.0,4385.52,1,1986
1721,6,22879.56,38749.56,0.0,0.0,2314.4,0.0,0.0,12,1972
1722,0,49512.0,66192.0,0.0,0.0,10656.0,0.0,89.64,1,1984
1723,13,49512.0,66192.0,0.0,0.0,19607.46,0.0,22.41,5,1980
1724,14,85188.0,150792.0,0.0,0.0,46439.84,0.0,23270.64,7,1969
1725,16,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,4,1964
1726,19,22879.56,38749.56,0.0,0.0,3662.7,0.0,0.0,5,1970
1727,6,44712.0,157800.0,0.0,0.0,1236.0,0.0,9797.64,3,1950
1728,14,22879.56,38749.56,0.0,0.0,2466.5,0.0,0.0,2,1979
1729,2,31716.0,55716.0,0.0,0.0,650.0,0.0,9237.72,6,1956
1730,17,92088.0,292068.0,0.0,16477.09,635.0,0.0,7765.9,10,1965
1731,12,59076.0,131088.0,0.0,0.0,10247.48,0.0,23270.64,2,1950
1732,19,22879.56,38749.56,0.0,0.0,851.2,0.0,0.0,1,1951
1733,10,34152.0,59976.0,60.38,0.0,650.0,0.0,9809.37,12,1978
1734,7,42180.0,74076.0,0.0,0.0,650.0,0.0,17539.41,4,1966
1735,13,22879.56,38749.56,0.0,0.0,1169.3,0.0,0.0,2,1976
1736,14,80856.0,142032.0,0.0,0.0,5350.0,0.0,23270.64,8,1961
1737,5,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,4,1968
1738,20,22879.56,38749.56,0.0,0.0,3098.25,0.0,0.0,11,1967
1739,10,22879.56,38749.56,0.0,0.0,1108.95,0.0,0.0,11,1965
1740,6,59076.0,131088.0,0.0,0.0,0.0,0.0,8789.64,11,1984
1741,6,31200.0,53496.0,183.69,0.0,650.0,0.0,22015.08,10,1979
1742,19,56124.0,70536.0,0.0,0.0,0.0,0.0,0.0,5,1970
1743,16,22879.56,38749.56,0.0,0.0,1276.0,0.0,0.0,6,1985
1744,8,34152.84,333105.48,0.0,0.0,0.0,0.0,0.0,7,1988
1745,6,52464.0,125736.0,0.0,0.0,650.0,0.0,23270.64,5,1972
1746,6,37380.0,65700.0,0.0,0.0,650.0,0.0,8125.56,5,1989
1747,12,42048.0,59172.0,0.0,0.0,0.0,0.0,0.0,4,1964
1748,12,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,7,1962
1749,7,59076.0,131088.0,0.0,0.0,-57.76,0.0,4385.52,12,1969
1750,22,22879.56,38749.56,0.0,0.0,1085.11,0.0,0.0,9,1954
1751,20,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,11,1978
1752,0,40452.0,75792.0,0.0,0.0,831.18,0.0,9319.08,5,1978
1753,19,37380.0,65700.0,0.0,0.0,650.0,0.0,20800.12,5,1989
1754,6,22879.56,38749.56,0.0,0.0,1883.12,0.0,0.0,2,1950
1755,9,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,9,1982
1756,1,22879.56,38749.56,0.0,0.0,4275.83,0.0,0.0,12,1988
1757,8,49512.0,66192.0,0.0,0.0,0.0,0.0,0.0,4,1986
1758,6,46764.0,82152.0,0.0,0.0,650.0,0.0,9080.04,11,1985
1759,7,39456.0,73944.0,0.0,0.0,1529.35,0.0,21747.1,5,1983
1760,7,56184.0,86820.0,7652.15,0.0,10703.12,0.0,22640.64,7,1978
1761,18,59076.0,131088.0,0.0,0.0,0.0,0.0,9334.82,11,1961
1762,3,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,7,1973
1763,8,59076.0,131088.0,0.0,0.0,0.0,0.0,9319.08,6,1958
1764,5,22879.56,38749.56,0.0,0.0,1598.3,0.0,0.0,8,1970
1765,6,33336.0,83460.0,0.0,0.0,0.0,0.0,2231.1,3,1954
1766,4,22879.56,38749.56,0.0,0.0,2440.9,0.0,0.0,9,1982
1767,17,60864.0,213120.0,0.0,0.0,0.0,0.0,22710.84,6,1975
1768,2,34152.0,59976.0,0.0,0.0,650.0,0.0,22015.08,2,1967
1769,6,22879.56,38749.56,0.0,0.0,2194.5,0.0,0.0,9,1953
1770,10,49512.0,66192.0,0.0,0.0,877.01,0.0,12709.04,2,1958
1771,18,22879.56,38749.56,0.0,0.0,2013.0,0.0,0.0,2,1974
1772,1,28152.0,66204.0,0.0,0.0,3109.9,0.0,0.0,8,1970
1773,9,85188.0,150792.0,0.0,0.0,2984.67,0.0,0.0,2,1966
1774,2,22879.56,38749.56,0.0,0.0,2873.5,0.0,0.0,1,1978
1775,8,22879.56,38749.56,0.0,0.0,601.9,0.0,0.0,9,1986
1776,18,28080.0,52920.0,0.0,0.0,0.0,0.0,0.0,10,1984
1777,18,22879.56,38749.56,0.0,0.0,7141.25,0.0,0.0,8,1987
1778,19,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,1,1956
